"mfid","mid","field_name","field_alias","type","is_system","list_view","list_sort","list_order","list_readonly","list_text","link_addr","link_attr","list_align","list_width","list_style","list_format","list_search_op","list_search_label","list_sql","form_sort","form_view","form_view_type","form_readonly","form_required","form_validate_type","form_max_length","form_min_length","form_chk_style","form_live_search","form_data_source","form_style","form_notes","import_data_sql","remark","settings","enabled","last_modify_time","create_time","data_toggle","data_url","data_group","data_width","data_title","data_height","list_search_style","list_search_sort","list_search_dateformat","list_search_extattr","list_search_width","chk_style","lookup_is_back","lookup_list_show","lookup_name","file_size_limit","file_type_exts","file_multi","file_auto","is_lock","file_rename"
"685732317937733632","249","deviceid","设备编号","VARCHAR","true","false","300","0","0","","","","left","","","","","","","300","false","hidden","","false","","","","false","false","","","","","6K6+5aSH57yW5Y+3","","0","2018/5/5 20:29:31","2018/5/2 15:11:06","","","","","","","","","","","","","","false","false","10240000","*.png;*.gif;*.jpg;*.doc;*.docx;*.zip;*.rar;*.xls;*.xlsx","true","true","0","false"
"685732317954510848","249","dtid","设备类型编号","INT","true","false","300","0","0","","","","","","","","","","","300","false","","","false","","","","","","","","","","6K6+5aSH57G75Z6L57yW5Y+3","","0","2018/5/2 15:11:06","2018/5/2 15:11:06","","","","","","","","","","","","","","","false","10240000","*.png;*.gif;*.jpg;*.doc;*.docx;*.zip;*.rar;*.xls;*.xlsx","true","true","0","false"
"685732317971288064","249","bdzid","变电站编号","VARCHAR","true","true","30","0","0","","","","left","","","","","","","310","true","hidden","","false","","","","false","false","","","","","5Y+Y55S156uZ57yW5Y+3","","0","2018/5/4 18:11:05","2018/5/2 15:11:06","","","","","","","","","","","","","","false","false","10240000","*.png;*.gif;*.jpg;*.doc;*.docx;*.zip;*.rar;*.xls;*.xlsx","true","true","0","false"
"685732317988065280","249","is_important","是否是关键设备","VARCHAR","true","false","300","0","0","","","","","","","","","","","300","false","","","false","","","","","","","","","","5piv5ZCm5piv5YWz6ZSu6K6+5aSH","","0","2018/5/2 15:11:06","2018/5/2 15:11:06","","","","","","","","","","","","","","","false","10240000","*.png;*.gif;*.jpg;*.doc;*.docx;*.zip;*.rar;*.xls;*.xlsx","true","true","0","false"
"685732318009036800","249","instid","巡检类型序号","INT","true","false","300","0","0","","","","","","","","","","","300","false","","","false","","","","","","","","","","5beh5qOA57G75Z6L5bqP5Y+3","","0","2018/5/2 15:11:06","2018/5/2 15:11:06","","","","","","","","","","","","","","","false","10240000","*.png;*.gif;*.jpg;*.doc;*.docx;*.zip;*.rar;*.xls;*.xlsx","true","true","0","false"
"685732318030008320","249","bigid","设备大类id","VARCHAR","true","true","20","0","0","","","","left","","","","","","","300","true","selectpicker","","true","","","","false","false","/jyh/xjjyhpjbigtype/json","","","","6K6+5aSH5aSn57G7aWQ=","","0","2018/5/4 17:22:27","2018/5/2 15:11:06","","","","","","","","","","","","","","false","false","10240000","*.png;*.gif;*.jpg;*.doc;*.docx;*.zip;*.rar;*.xls;*.xlsx","true","true","0","false"
"685732318050979840","249","name","设备名称","VARCHAR","true","true","25","0","0","","","","left","","","","like","设备名称","","300","false","text","","true","","100","","false","false","","","","","6K6+5aSH5ZCN56ew","","0","2018/5/5 20:14:00","2018/5/2 15:11:06","","","","","","","","","","","","","","false","false","10240000","*.png;*.gif;*.jpg;*.doc;*.docx;*.zip;*.rar;*.xls;*.xlsx","true","true","0","false"
"685732318067757056","249","pms_id","","VARCHAR","true","false","300","0","0","","","","","","","","","","","300","false","","","false","","","","","","","","","","","","0","2018/5/2 15:11:06","2018/5/2 15:11:06","","","","","","","","","","","","","","","false","10240000","*.png;*.gif;*.jpg;*.doc;*.docx;*.zip;*.rar;*.xls;*.xlsx","true","true","0","false"
"685732318092922880","249","pms_name","","VARCHAR","true","false","300","0","0","","","","","","","","","","","300","false","","","false","","","","","","","","","","","","0","2018/5/2 15:11:06","2018/5/2 15:11:06","","","","","","","","","","","","","","","false","10240000","*.png;*.gif;*.jpg;*.doc;*.docx;*.zip;*.rar;*.xls;*.xlsx","true","true","0","false"
"685732318113894400","249","pms_jgid","pms间隔ID","VARCHAR","true","false","300","0","0","","","","","","","","","","","300","false","","","false","","","","","","","","","","cG1z6Ze06ZqUSUQ=","","0","2018/5/5 20:04:36","2018/5/2 15:11:06","","","","","","","","","","","","","","","false","10240000","*.png;*.gif;*.jpg;*.doc;*.docx;*.zip;*.rar;*.xls;*.xlsx","true","true","0","false"
